artist_ID	artist_name	participation_count
18	Connie Mccann	4
37	Bradley Scott Jr.	4
17	Kathryn Morris	3
20	Tonya Lawrence	3
28	William Smith	3
14	Rebecca Torres	3
32	Aimee Petty MD	2
33	Hailey Stewart	2
34	James Burns	2
19	Michele Bradley	2
1	Patrick Pace	2
40	Tommy Schultz	2
42	Deborah Gregory	2
5	Crystal Simmons	2
25	William Oneal	2
47	Lisa Middleton	2
11	Timothy Stephens	2
49	Lawrence Bates	2
16	Teresa Luna	1
35	Thomas Ward	1
21	Joshua Chase	1
2	Jeffrey Manning	1
22	Elizabeth Johnson	1
4	Clinton Gutierrez	1
23	Peter Sanchez	1
43	Douglas Rhodes	1
24	Jennifer Alvarado	1
44	Angel Sutton	1
6	Blake King	1
45	Theresa Phillips	1
9	Lee Wells	1
26	Sherry Watson	1
46	Kristy Johnson	1
10	Laurie Bird	1
27	Sheila Sellers	1
48	Roger Klein	1
12	Alexandra Castro	1
29	Kyle Williams	1
13	Lori Morgan	1
30	Carolyn Beck	1
50	Maureen Kline	1
31	Stacey Lewis	1
